Name,ID,State,Notes,User,Tags,Created,Runtime,Sweep,batch_size,client_lr,dataset,dataset_size_limit,epochs,epochs_per_client,loss_function,lr_decay,model,num_clients,num_rounds,random_seed,sampling,server_lr,use_experimental_simulation_loop,central_dataset_index,acc,best_epoch,best_val_confusion_matrix,best_val_loss,epoch,len_train,loss,params,round,shuffle_buffer,val_acc,val_auc_nct,val_auc_nict,val_auc_pct,val_loss,val_metrics.accuracy,val_metrics.macro avg.f1-score,val_metrics.macro avg.precision,val_metrics.macro avg.recall,val_metrics.macro avg.support,val_metrics.nct.accuracy,val_metrics.nct.f1-score,val_metrics.nct.precision,val_metrics.nct.recall,val_metrics.nct.specificity,val_metrics.nct.support,val_metrics.nict.accuracy,val_metrics.nict.f1-score,val_metrics.nict.precision,val_metrics.nict.recall,val_metrics.nict.specificity,val_metrics.nict.support,val_metrics.pct.accuracy,val_metrics.pct.f1-score,val_metrics.pct.precision,val_metrics.pct.recall,val_metrics.pct.specificity,val_metrics.pct.support,val_metrics.weighted avg.f1-score,val_metrics.weighted avg.precision,val_metrics.weighted avg.recall,val_metrics.weighted avg.support
"{model: vgg_16, client_lr: 0.0001, lr_decay: 0, num_clients: 1}",eythyqf9,finished,-,maxb,,2021-04-20T10:27:03.000Z,14668,7gaer1ki,64,0.0001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,1,,4242,,,,0,0.893147409,16,"[[398,81,92],[16,384,0],[33,19,946]]",,150,17716,0.2091075033,14768835,,,,,,,0.2467896342,0.8776028441,0.8599922363,0.8650455861,0.8683061862,1969,0.9268664297,0.9292730845,0.9113680154,0.9478957916,0.9052523172,998,0.8872524124,0.7819253438,0.8903803132,0.6970227671,0.9649499285,571,0.9410868461,0.8687782805,0.7933884298,0.96,0.936265137,400,0.8742535408,0.8813142763,0.8776028441,1969
"{model: vgg_16, client_lr: 0.0001, lr_decay: 0, num_clients: 3}",r961crmj,finished,-,maxb,,2021-04-20T10:09:46.000Z,5546,7gaer1ki,64,0.0001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,3,,4242,stratified_shuffle_deterministic,,,0,0.8685859442,17,"[[404,47,120],[51,345,4],[46,14,938]]",,150,5905,0.2635885179,14768835,,,,,,,0.3141888976,0.8567800914,0.8401634531,0.8464600305,0.8366368025,1969,0.906551549,0.9106796117,0.8832391714,0.9398797595,0.8722966014,998,0.8659217877,0.7537313433,0.8063872255,0.707530648,0.9306151645,571,0.9410868461,0.8560794045,0.8497536946,0.8625,0.9611217336,400,0.854073444,0.8541499627,0.8567800914,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 2, epochs_per_client: 10}",0iljeplj,finished,-,maxb,max-pve,2021-04-11T06:40:42.000Z,11241,am6j3hgn,64,0.0001,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_16,2,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.8798599839,20,"[[392,55,124],[32,359,9],[26,17,955]]",,150,17716,0.2561026812,14768835,15,88580,,,,,0.2949407697,0.8664296597,0.8491739609,0.8606050333,0.8469762379,1969,0.9106145251,0.9156279962,0.8777573529,0.9569138277,0.8630278064,998,0.8796343321,0.7678746327,0.8711111111,0.6865148862,0.9585121602,571,0.9426104622,0.8640192539,0.8329466357,0.8975,0.9541108987,400,0.8622960168,0.8667267328,0.8664296597,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 3, epochs_per_client: 5}",8dbcgdhc,finished,-,maxb,host-max-pve,2021-04-14T05:51:47.000Z,11419,chlrvmn2,64,0.0001,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,3,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.8788101077,20,"[[385,60,126],[23,366,11],[13,11,974]]",,150,17716,0.2533270717,14768835,30,29525,,,,,0.2744598687,0.876079228,0.8581407171,0.8762351947,0.8550691985,1969,0.9182326054,0.9236605026,0.8766876688,0.9759519038,0.8589083419,998,0.8872524124,0.7762096774,0.9144893112,0.6742556918,0.974248927,571,0.9466734383,0.8745519713,0.8375286041,0.915,0.9547482473,400,0.8709241726,0.8796948358,0.876079228,1969
"{model: vgg_16, client_lr: 0.01, lr_decay: 0, num_clients: 1}",elhn1rne,finished,-,maxb,,2021-04-20T02:16:56.000Z,14782,7gaer1ki,64,0.01,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,1,,4242,,,,0,0.5069428682,23,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.027679682,14768835,,,,,,,1.027190328,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: vgg_simple, client_lr: 0.01, lr_decay: 0, num_clients: 1}",t2mlkhtu,finished,-,maxb,,2021-04-20T03:58:00.000Z,3335,7gaer1ki,64,0.01,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_Simple,1,,4242,,,,0,0.5069428682,23,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.027682662,714467,,,,,,,1.02718997,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_Simple, client_lr: 0.01, lr_decay: 0, num_clients: 2, epochs_per_client: 5}",iez9lqxs,finished,-,maxb,,2021-04-10T19:30:08.000Z,7756,am6j3hgn,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_Simple,2,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5069428682,25,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.027616143,714467,30,44290,,,,,1.027193666,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: vgg_16, client_lr: 0.0001, lr_decay: 0, num_clients: 2}",jcjyogad,finished,-,maxb,,2021-04-20T10:10:06.000Z,7878,7gaer1ki,64,0.0001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,2,,4242,stratified_shuffle_deterministic,,,0,0.8876721859,28,"[[396,80,95],[22,374,4],[56,18,924]]",,150,8858,0.2291707397,14768835,,,,,,,0.2970348597,0.8603351955,0.8433639048,0.8436805753,0.8514572812,1969,0.9121381412,0.9143988125,0.9032258065,0.9258517034,0.8980432544,998,0.8715083799,0.7578947368,0.835443038,0.6935201401,0.9442060086,571,0.93702387,0.8577981651,0.7923728814,0.935,0.9375398343,400,0.8575150714,0.8610495084,0.8603351955,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 3, epochs_per_client: 10}",mr0ax6vv,finished,-,maxb,host-max-pve,2021-04-14T09:02:08.000Z,11330,chlrvmn2,64,0.0001,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_16,3,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.8990855813,30,"[[399,42,130],[30,358,12],[16,13,969]]",,150,17716,0.2130191922,14768835,15,59050,,,,,0.2814482749,0.8765871001,0.8616802656,0.8785481731,0.8549053214,1969,0.9131538852,0.9189189189,0.8721872187,0.9709418838,0.8537590113,998,0.8892839005,0.7854330709,0.8966292135,0.6987740806,0.9670958512,571,0.9507364144,0.8806888069,0.8668280872,0.895,0.9649458254,400,0.8724422993,0.8781865719,0.8765871001,1969
"{model: vgg_simple, client_lr: 0.0001, lr_decay: 0, num_clients: 2}",oby490sq,finished,-,maxb,,2021-04-20T11:02:18.000Z,2803,7gaer1ki,64,0.0001,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_Simple,2,,4242,stratified_shuffle_deterministic,,,0,0.8184691668,32,"[[429,102,40],[23,374,3],[157,20,821]]",,150,8858,0.3641453087,714467,,,,,,,0.3356793225,0.8247841544,0.8145958495,0.802899079,0.8363195919,1969,0.8882681564,0.8818474758,0.9502314815,0.8226452906,0.955715757,998,0.8364652108,0.7271186441,0.7044334975,0.7513134851,0.8712446352,571,0.9248349416,0.8348214286,0.7540322581,0.935,0.9222434672,400,0.8274236151,0.8390936764,0.8247841544,1969
